title,number,photo,Салоны,Бренд,Коллекция,color code,🔒 Row ID,Narrative,example 1,example 2,example 3,Global counter
SERENITY,109,https://i.ibb.co/LxRGcDD/LUXIO-109-SERENITY-77.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,dfc6c2,L4apRi6iQjqaHWqcw9vfag,,,,,
IVORY ,110,https://i.ibb.co/F5GbxBF/LUXIO-110-IVORY-78.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,d2d1cf,Y8hOYg.bTQOWdtGdBeFPtA,,,,,
DREAMY ,111,https://i.ibb.co/9sNWvZH/LUXIO-111-DREAMY-79.png,Nail O`Clock,LUXIO,PASTELS,8d9598,6AkTdYqQSySIemhnGBXQBg,,,,,
SHY ,112,https://i.ibb.co/g3vfNLS/LUXIO-112-SHY-80.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,PASTELS,e2c8b9,gW60jZNjTVqbLDxIAozH3Q,,,,,
GENTLE ,113,https://i.ibb.co/MRMNwbx/LUXIO-113-GENTLE-81.png,Nail O`Clock,LUXIO,PASTELS,a5b8b2,kcvA0KMYR726SFbTJOVVFA,,,,,
FAIRY ,114,https://i.ibb.co/tBM6YP0/LUXIO-114-FAIRY-82.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,PASTELS,dbcfd7,SwqwEnkRT8ytrF8jIKg4Eg,,,,,
LOVELY ,115,https://i.ibb.co/ss4nKTq/LUXIO-115-LOVELY-83.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,PASTELS,9a8fad,4UPTaO8ZQMWDOTIkTNjlnw,,,,,4
CALM ,116,https://i.ibb.co/26tX9R6/LUXIO-116-CALM-84.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,PASTELS,669eb5,JVEWmv9WSMyGHlu6ZAIHRA,,,,,
PEACEFUL ,117,https://i.ibb.co/SxTdWQM/LUXIO-117-PEACEFUL-85.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,PASTELS,ddd0a7,jSGnmRyGSxKLCoyY9SbOoA,,,,,
BREATHLESS ,118,https://i.ibb.co/f8yHJbN/LUXIO-118-BREATHLESS-86.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,PASTELS,87a5c3,J8pRmC76QaaFlOm9AXuszA,,,,,
SEDUCTION ,119,https://i.ibb.co/HhXGz0M/LUXIO-119-SEDUCTION-87.png,Nail O`Clock,LUXIO,COLOURS,400204,WfBxpyd4SR2mYAf.0g1tvQ,,,,,
MAGIC ,120,https://i.ibb.co/ggsz5BC/LUXIO-120-MAGIC-88.png,Nail O`Clock,LUXIO,COLOURS,2e0614,a.A5do4lxQ9qln0UvI6sUGA,,,,,
WISP ,121,https://i.ibb.co/1stFX6k/LUXIO-121-WISP-89.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,b4b4b7,UNyfQ0VWTI-n8ZYSqyWcSA,,,,,
PIXIE ,122,https://i.ibb.co/Fh6xW5W/LUXIO-122-PIXIE-90.png,Nail O`Clock,LUXIO,COLOURS,d8987d,FBtdg4D5Rtq3mspRSBNGqg,,,,,
ENLIGHTEN ,123,https://i.ibb.co/HnKnhSy/LUXIO-123-ENLIGHTEN-91.png,Nail O`Clock,LUXIO,COLOURS,419675,7YCL45mDSxygsyQPfJVfRQ,,,,,
DARLING ,124,https://i.ibb.co/6J8GXGz/LUXIO-124-DARLING-92.png,Nail O`Clock,LUXIO,COLOURS,e09184,I6fQ1sTqQzG5gPchaEtQOw,,,,,
ALMONDINE ,125,https://i.ibb.co/5WkCfhQ/LUXIO-125-ALMONDINE-93.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,d9bdb2,rR9HNmNKTy-SUdsY-CsVLg,,,,,
FANFARE ,126,https://i.ibb.co/QCQVxCL/LUXIO-126-FANFARE-94.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,1232a9,GO-WY7ZzRumjthEYLVeA9w,,,,,
WHIMSICAL ,127,https://i.ibb.co/8bMKVQR/LUXIO-127-WHIMSICAL-95.png,Nail O`Clock,LUXIO,COLOURS,0087b8,vytXmGijRM6-F2PMFDz3aQ,,,,,
FORTUNE ,128,https://i.ibb.co/L5trNBb/LUXIO-128-FORTUNE-96.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,021e23,FyCk3ALxRui-RxzSqQrJHw,,,,,
REBEL ,129,https://i.ibb.co/1qqMwGW/LUXIO-129-REBEL-97.png,Nail O`Clock,LUXIO,COLOURS,7f0c13,Nq5zFrL.Rn-IsivAJEcJzA,,,,,
CELEBRATE ,130,https://i.ibb.co/k2Mx0sS/LUXIO-130-CELEBRATE-98.png,"Nail O`Clock, Студия Анны Ключко",LUXIO,COLOURS,54609e,wCBr.787Rd2hvp2yUwDqow,,,,,
ATTRACTION ,131,https://i.ibb.co/0sJ4FZC/LUXIO-131-ATTRACTION-99.png,Nail O`Clock,LUXIO,BRIGHTS,8b3f8c,D-y8wlILRqS8mqLFQxYNGg,,,,,
CRUSH ,132,https://i.ibb.co/fxTGvxc/LUXIO-132-CRUSH-100.png,Nail O`Clock,LUXIO,BRIGHTS,fda867,P0FtIdRHRw23..xhO5AmDQ,,,,,
DELIGHTFUL ,133,https://i.ibb.co/b7cNqTx/LUXIO-133-DELIGHTFUL-101.png,Nail O`Clock,LUXIO,COLOURS,fea0d9,pUC8mBszRYKQOPiwXot2vA,,,,,
ENGAGEMENT ,134,https://i.ibb.co/yytPHPx/LUXIO-134-ENGAGEMENT-102.png,"Nail O`Clock, Chicago",LUXIO,COLOURS,00c2b0,miZFkAqTR3Cv3HNFKt86eg,,,,,
